"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"NYY","2277","307","33","9.9%","21.5%",".191",".280",".250",".328",".441",".335","120","0.8","32.0%","84.9%","44.4%"
"LAD","2299","309","38","10.4%","21.3%",".172",".293",".249",".330",".421",".329","114","6.5","28.1%","84.9%","41.1%"
"NYM","2381","316","26","8.2%","19.6%",".143",".311",".265",".336",".408",".327","116","1.2","32.6%","86.1%","36.7%"
"TOR","2219","263","20","8.5%","20.9%",".170",".293",".253",".324",".423",".327","110","2.3","31.6%","85.4%","44.3%"
"MIN","2327","278","13","9.1%","22.2%",".161",".300",".253",".326",".413",".326","113","-6.1","30.8%","86.4%","42.2%"
"PHI","2267","289","36","8.3%","23.3%",".174",".298",".250",".317",".424",".324","106","4.8","34.2%","84.8%","39.9%"
"ATL","2279","281","30","7.9%","25.4%",".186",".297",".244",".311",".431",".323","105","-2.6","34.9%","81.7%","42.2%"
"HOU","2241","248","32","9.4%","19.9%",".173",".269",".239",".316",".412",".320","112","-2.6","31.2%","86.7%","40.5%"
"SFG","2249","292","27","9.5%","22.5%",".163",".284",".241",".320",".403",".319","107","0.5","29.6%","84.4%","38.8%"
"LAA","2304","272","31","8.5%","25.3%",".167",".301",".244",".314",".410",".318","107","-4.4","29.3%","83.2%","37.6%"
"BOS","2335","284","19","7.3%","20.9%",".157",".302",".254",".314",".412",".317","103","1.0","34.3%","84.1%","39.8%"
"CHC","2252","253","39","9.3%","22.9%",".151",".296",".242",".320",".394",".315","100","1.6","31.3%","84.2%","39.2%"
"SEA","2294","246","33","9.6%","22.3%",".148",".286",".238",".322",".386",".314","110","-5.9","30.2%","86.6%","36.1%"
"MIA","2189","262","36","8.3%","23.5%",".153",".296",".244",".315",".396",".314","105","-1.2","33.9%","84.8%","37.3%"
"STL","2324","288","46","8.4%","19.5%",".140",".291",".250",".319",".390",".313","105","8.6","35.1%","86.0%","34.5%"
"COL","2326","274","13","7.7%","21.1%",".131",".309",".257",".320",".388",".313","87","-6.3","33.7%","86.4%","35.0%"
"WSN","2329","257","26","8.0%","19.2%",".125",".304",".257",".322",".382",".312","98","-10.3","33.6%","85.5%","35.8%"
"MIL","2307","267","38","8.7%","23.6%",".167",".273",".231",".306",".398",".310","97","3.1","29.5%","85.5%","39.1%"
"CLE","2104","260","37","8.0%","17.8%",".140",".285",".249",".313",".389",".308","101","2.9","32.5%","87.7%","34.5%"
"CIN","2191","263","31","8.2%","23.0%",".141",".290",".239",".309",".380",".305","90","-6.7","32.2%","85.8%","37.1%"
"ARI","2292","250","21","9.8%","24.7%",".163",".263",".217",".301",".380",".301","90","7.8","28.9%","85.3%","37.5%"
"TEX","2202","257","52","7.3%","22.9%",".155",".274",".234",".294",".389",".300","96","12.0","32.5%","82.8%","39.5%"
"BAL","2304","246","31","7.8%","23.7%",".145",".283",".232",".302",".376",".300","93","0.5","35.1%","84.6%","39.9%"
"KCR","2206","229","32","7.8%","19.9%",".132",".284",".240",".303",".372",".298","92","2.6","33.0%","85.6%","38.6%"
"SDP","2325","268","22","9.2%","22.2%",".127",".287",".234",".311",".361",".298","94","0.4","31.2%","86.5%","35.5%"
"TBR","2203","255","44","7.8%","23.0%",".145",".281",".233",".297",".377",".297","99","0.6","32.1%","83.5%","38.8%"
"CHW","2179","227","30","6.5%","20.2%",".124",".285",".242",".299",".366",".294","92","4.7","35.1%","86.0%","39.7%"
"PIT","2097","199","28","8.5%","25.5%",".132",".282",".224",".293",".356",".289","85","-4.4","30.7%","86.3%","37.8%"
"OAK","2226","206","41","7.4%","23.9%",".122",".264",".212",".277",".334",".272","80","0.0","32.7%","84.7%","35.5%"
"DET","2071","162","12","6.6%","24.1%",".098",".279",".218",".276",".317",".265","71","-10.5","35.9%","84.9%","34.1%"
