"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","105","277","16","44","44","2","7.2 %","18.8 %",".262",".330",".306",".360",".569",".383","137","0.3","13.8","3.3","2.5"
"Mets","101","269","13","37","35","6","10.4 %","20.1 %",".236",".300",".270",".350",".506",".358","126","0.1","9.4","0.6","1.8"
"Mariners","103","277","12","44","43","4","10.5 %","22.4 %",".200",".331",".283",".368",".483",".362","132","0.9","12.3","-3.5","1.8"
"Angels","110","287","12","38","37","2","8.4 %","17.8 %",".186",".325",".295",".357",".481",".355","126","-0.8","8.7","-0.2","1.8"
"Athletics","96","262","12","41","36","2","8.8 %","15.6 %",".248",".276",".265",".344",".513",".356","126","0.5","9.1","-0.1","1.8"
"Indians","99","261","14","41","40","8","7.3 %","21.5 %",".236",".315",".283",".340",".519",".359","122","1.2","8.6","-0.3","1.7"
"Braves","94","241","13","41","40","1","10.0 %","19.5 %",".233",".297",".274",".353",".507",".363","123","0.4","7.4","0.8","1.6"
"Astros","95","272","12","28","27","0","10.7 %","18.8 %",".207",".291",".264",".346",".471",".346","121","-0.5","6.7","-0.3","1.6"
"Rangers","91","256","13","35","32","7","7.8 %","25.4 %",".254",".329",".276",".335",".530",".360","119","0.2","6.3","-0.2","1.5"
"Yankees","93","251","15","46","46","2","8.8 %","27.5 %",".239",".322",".270",".336",".509",".354","120","-0.1","6.4","-1.3","1.4"
"Reds","106","264","11","38","38","4","8.0 %","26.5 %",".207",".318",".254",".342",".461",".342","108","-0.6","1.8","1.9","1.2"
"Blue Jays","107","278","14","38","35","2","11.2 %","25.2 %",".208",".284",".245",".331",".453",".331","108","-0.1","2.7","-1.8","1.1"
"Padres","87","240","6","28","26","6","11.3 %","26.3 %",".159",".340",".260",".345",".418",".324","100","-0.2","-0.2","2.9","1.0"
"Royals","91","263","8","37","36","9","5.7 %","17.1 %",".171",".302",".271",".322",".442",".323","99","0.8","0.5","0.0","1.0"
"Pirates","85","199","4","31","31","0","8.0 %","15.1 %",".161",".336",".299",".362",".460",".346","115","-0.1","3.7","-0.9","0.9"
"Nationals","90","221","10","31","30","5","9.0 %","17.6 %",".222",".281",".263",".339",".485",".341","106","0.9","2.5","-0.4","0.9"
"Red Sox","91","268","4","29","28","4","7.5 %","23.9 %",".132",".352",".273",".333",".405",".316","92","0.3","-2.3","1.3","0.8"
"Brewers","99","259","10","29","27","6","12.4 %","23.6 %",".181",".252",".217",".326",".398",".315","91","1.0","-2.2","1.9","0.8"
"Cubs","85","212","7","26","23","6","8.5 %","25.5 %",".167",".313",".250",".314",".417",".311","90","0.8","-1.9","2.0","0.7"
"Diamondbacks","89","241","3","21","19","6","10.4 %","19.9 %",".091",".308",".249",".336",".340",".297","78","1.1","-6.2","2.9","0.4"
"White Sox","74","190","5","20","18","1","5.3 %","22.6 %",".159",".318",".261",".307",".420",".309","94","0.2","-1.5","-1.1","0.4"
"Marlins","103","266","9","27","24","0","4.9 %","23.7 %",".169",".294",".245",".291",".414",".296","86","-2.1","-7.4","2.0","0.3"
"Twins","96","299","10","23","22","1","6.0 %","21.4 %",".150",".275",".237",".299",".387",".294","81","-0.7","-8.1","-0.5","0.2"
"Cardinals","109","268","7","26","23","5","7.8 %","20.5 %",".123",".264",".225",".292",".348",".278","70","0.8","-9.9","2.2","0.1"
"Phillies","86","219","5","14","13","5","11.0 %","25.1 %",".126",".256",".204",".294",".330",".273","66","1.0","-9.0","2.4","0.1"
"Tigers","71","186","5","21","19","2","6.5 %","24.2 %",".145",".311",".250",".303",".395",".300","87","-0.6","-4.0","-2.1","0.1"
"Rays","97","256","4","23","22","4","6.6 %","24.2 %",".112",".280",".219",".282",".330",".268","67","0.6","-10.0","0.9","0.0"
"Rockies","89","233","8","29","28","2","6.4 %","25.3 %",".153",".307",".250",".297",".403",".297","68","-0.9","-11.2","0.8","-0.3"
"Giants","101","257","7","33","32","0","8.2 %","24.5 %",".159",".232",".193",".265",".352",".263","62","-0.6","-13.5","1.4","-0.4"
"Orioles","98","255","4","29","26","5","9.4 %","22.7 %",".093",".259",".208",".285",".301",".257","56","-0.5","-14.5","-2.6","-0.8"
