"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","60","48","27","483","108","982.1","9.60","2.87","1.06",".284","74.8 %","45.0 %","13.1 %","3.58","3.68","3.92","16.3"
"Nationals","56","49","27","448","105","928.2","9.63","3.20","1.14",".306","71.8 %","42.2 %","12.6 %","4.30","3.97","4.30","15.7"
"Dodgers","69","38","29","436","107","952.2","9.20","2.33","1.20",".268","73.9 %","45.9 %","14.4 %","3.41","3.82","3.90","15.0"
"Twins","64","41","29","430","105","950.0","8.71","2.83","1.25",".298","72.7 %","41.5 %","13.6 %","4.05","4.19","4.39","14.6"
"Indians","62","43","30","441","105","933.0","9.58","2.81","1.30",".286","75.8 %","40.5 %","14.0 %","3.77","4.07","4.22","14.5"
"Astros","68","39","27","420","107","963.1","10.13","2.82","1.48",".265","76.4 %","43.4 %","17.1 %","3.77","4.14","3.89","14.0"
"Reds","48","55","28","452","103","913.1","9.77","3.38","1.25",".295","75.3 %","44.9 %","16.0 %","3.96","4.11","4.01","12.6"
"Athletics","60","47","25","471","108","975.1","7.62","3.17","1.15",".278","73.4 %","40.7 %","11.4 %","4.12","4.39","4.94","12.3"
"Yankees","67","38","35","445","105","935.2","9.45","3.06","1.59",".300","74.8 %","43.2 %","17.1 %","4.39","4.53","4.26","12.3"
"Red Sox","59","48","21","484","107","969.1","10.05","3.43","1.31",".313","70.0 %","42.5 %","14.2 %","4.66","4.19","4.31","12.0"
"Mets","50","55","26","423","105","944.2","9.22","3.31","1.31",".307","71.6 %","42.5 %","13.7 %","4.58","4.32","4.51","10.8"
"Diamondbacks","53","53","24","442","106","956.2","8.81","3.10","1.27",".294","73.2 %","42.9 %","14.4 %","4.25","4.25","4.34","10.5"
"Rangers","53","53","22","422","106","942.1","8.65","3.51","1.52",".312","71.4 %","41.4 %","15.5 %","5.02","4.82","4.77","10.0"
"Brewers","56","51","30","465","107","968.0","9.28","3.44","1.37",".305","71.0 %","41.7 %","15.5 %","4.69","4.40","4.35","9.8"
"Cubs","56","49","25","460","105","939.0","8.56","3.35","1.24",".290","74.5 %","46.1 %","15.2 %","4.04","4.38","4.37","9.7"
"Tigers","30","71","22","469","102","906.1","8.32","3.27","1.52",".311","68.1 %","43.1 %","15.5 %","5.17","4.79","4.74","8.2"
"Padres","49","56","36","449","105","934.0","8.90","2.74","1.37",".296","70.5 %","43.9 %","15.0 %","4.53","4.28","4.29","8.1"
"Cardinals","56","49","33","451","105","932.2","8.75","3.41","1.33",".288","74.7 %","45.5 %","16.5 %","4.15","4.48","4.32","7.9"
"Rockies","49","57","19","472","106","950.0","8.01","3.43","1.51",".314","68.0 %","46.4 %","17.4 %","5.47","4.88","4.59","7.6"
"Marlins","40","63","21","426","103","917.1","8.77","3.67","1.25",".285","73.0 %","39.5 %","12.6 %","4.33","4.46","4.81","7.1"
"Braves","62","44","29","479","106","949.2","8.68","3.66","1.27",".301","72.8 %","44.6 %","14.7 %","4.28","4.51","4.56","6.6"
"White Sox","46","57","23","441","103","893.1","8.11","3.67","1.53",".301","70.2 %","42.2 %","15.5 %","5.07","4.97","4.92","6.3"
"Blue Jays","40","67","18","469","107","949.0","8.37","3.74","1.42",".310","71.6 %","44.1 %","15.3 %","4.88","4.79","4.76","6.1"
"Pirates","46","59","23","443","105","934.0","8.88","3.66","1.49",".304","70.4 %","41.1 %","15.1 %","4.97","4.79","4.80","5.8"
"Angels","55","52","25","477","107","953.1","8.95","3.64","1.57",".291","72.3 %","39.4 %","15.7 %","4.91","4.86","4.77","5.8"
"Giants","54","52","29","463","106","965.0","8.71","3.03","1.38",".293","72.5 %","42.1 %","15.3 %","4.36","4.45","4.43","5.7"
"Royals","40","67","25","428","107","944.2","7.83","3.63","1.31",".311","71.4 %","44.2 %","14.5 %","4.96","4.78","4.87","5.6"
"Phillies","55","50","25","453","105","942.0","8.59","3.45","1.68",".299","75.1 %","43.1 %","18.3 %","4.65","5.05","4.63","3.7"
"Mariners","46","63","22","453","109","967.2","7.79","3.14","1.72",".294","67.1 %","42.9 %","17.0 %","5.18","5.13","4.85","3.5"
"Orioles","35","70","20","432","105","932.1","7.78","3.64","1.93",".288","68.2 %","40.4 %","17.4 %","5.65","5.66","5.29","2.5"
