"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","1647","4624","199","653","637","50","9.7 %","18.3 %",".214",".300",".275",".350",".489",".351","124","-7.1","133.0","-6.1","28.2"
"Dodgers","1720","4658","197","648","629","36","9.8 %","21.0 %",".207",".292",".259",".340",".466",".337","110","6.8","68.4","40.0","25.3"
"Twins","1644","4649","228","675","652","25","7.9 %","20.6 %",".228",".297",".270",".335",".497",".347","115","-5.0","81.7","-3.9","23.5"
"Yankees","1645","4557","210","696","663","43","9.5 %","22.6 %",".213",".313",".271",".344",".484",".347","116","-1.2","89.9","-11.8","23.2"
"Red Sox","1764","4839","187","692","658","55","9.2 %","21.1 %",".199",".316",".273",".344",".473",".342","109","-4.4","51.6","14.2","23.0"
"Braves","1762","4699","190","647","625","64","9.4 %","22.7 %",".197",".309",".263",".338",".460",".335","104","5.9","27.8","32.8","20.7"
"Diamondbacks","1707","4628","164","606","580","67","8.4 %","21.2 %",".186",".299",".258",".328",".444",".325","97","12.3","-9.7","64.1","19.9"
"Cubs","1707","4525","186","591","570","33","9.5 %","23.6 %",".198",".301",".255",".334",".453",".331","102","-1.6","12.1","40.5","19.4"
"Rays","1730","4631","160","558","530","70","8.6 %","24.0 %",".178",".308",".254",".326",".432",".322","102","6.3","20.9","0.0","17.9"
"Angels","1746","4599","172","596","569","46","9.4 %","19.0 %",".183",".279",".252",".329",".435",".323","104","-5.9","17.7","-4.9","17.0"
"Athletics","1710","4570","184","599","558","38","9.0 %","20.7 %",".194",".275",".246",".322",".440",".322","102","-2.6","10.3","3.5","17.0"
"Brewers","1777","4615","188","566","547","76","9.6 %","24.5 %",".193",".294",".247",".326",".440",".323","96","5.3","-19.9","40.6","16.6"
"Mets","1753","4578","176","569","548","43","8.2 %","22.6 %",".184",".297",".253",".325",".437",".322","102","-10.9","1.9","6.0","15.2"
"Padres","1701","4369","181","529","511","55","8.0 %","25.9 %",".188",".297",".246",".312",".434",".314","94","-6.4","-42.4","51.6","14.7"
"Phillies","1723","4569","149","557","530","50","9.4 %","22.6 %",".172",".291",".245",".322",".417",".312","91","8.8","-48.6","49.5","14.5"
"Nationals","1671","4494","158","584","548","82","9.1 %","21.6 %",".179",".301",".257",".334",".436",".326","97","5.5","-13.5","16.4","14.5"
"Indians","1657","4446","157","548","517","81","9.2 %","21.4 %",".180",".288",".250",".323",".430",".317","93","6.9","-33.0","20.4","14.0"
"Mariners","1679","4563","184","573","556","82","9.3 %","25.8 %",".194",".291",".241",".317",".435",".318","102","9.5","22.0","-55.3","12.4"
"Cardinals","1703","4369","145","518","486","78","8.4 %","22.9 %",".163",".290",".244",".316",".407",".308","89","9.7","-54.8","29.8","11.4"
"Reds","1760","4354","164","531","513","55","7.7 %","23.2 %",".181",".294",".249",".318",".430",".316","90","-11.5","-66.8","32.5","10.4"
"Rangers","1634","4486","166","603","572","88","8.8 %","25.9 %",".191",".307",".249",".321",".440",".321","92","11.0","-37.1","-30.5","8.8"
"Royals","1638","4520","125","525","497","95","7.6 %","22.5 %",".159",".297",".247",".310",".406",".304","86","-3.6","-83.2","13.2","8.7"
"Giants","1776","4511","126","511","496","31","8.0 %","22.9 %",".161",".288",".239",".304",".400",".299","84","-7.1","-101.7","42.0","8.5"
"Pirates","1739","4502","126","544","534","47","7.0 %","20.1 %",".161",".310",".264",".322",".426",".315","94","-2.9","-40.5","-21.8","8.2"
"Blue Jays","1705","4547","182","542","518","36","8.2 %","24.4 %",".186",".277",".236",".302",".422",".306","89","-3.1","-64.7","-14.2","8.0"
"White Sox","1649","4314","126","478","457","57","6.3 %","25.8 %",".145",".320",".253",".308",".398",".300","87","6.1","-66.9","-29.6","5.4"
"Rockies","1721","4577","152","624","600","42","7.6 %","23.8 %",".188",".326",".267",".326",".455",".327","85","-2.6","-95.8","1.0","5.3"
"Orioles","1687","4439","147","510","484","61","7.2 %","24.1 %",".164",".297",".246",".307",".410",".304","88","1.0","-70.2","-59.0","2.7"
"Marlins","1698","4337","99","428","415","34","6.3 %","24.2 %",".127",".302",".241",".297",".368",".285","77","-15.5","-146.7","31.7","2.6"
"Tigers","1664","4355","108","423","400","45","7.1 %","25.9 %",".150",".299",".235",".294",".385",".289","77","-4.0","-129.9","-41.6","-1.7"
