"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","69","50","33","532","119","1082.1","9.74","2.75","1.10",".287","75.2 %","44.4 %","13.4 %","3.54","3.65","3.86","18.5"
"Dodgers","79","41","31","489","120","1070.2","9.20","2.33","1.15",".272","74.5 %","45.7 %","13.9 %","3.32","3.73","3.89","18.1"
"Indians","71","47","33","493","118","1050.0","9.50","2.79","1.25",".285","76.5 %","40.3 %","13.4 %","3.65","3.99","4.24","17.2"
"Nationals","62","55","30","502","117","1034.1","9.52","3.18","1.18",".304","71.5 %","42.3 %","12.8 %","4.41","4.03","4.34","16.8"
"Twins","71","47","33","481","118","1070.0","8.71","2.84","1.25",".299","72.1 %","41.4 %","13.5 %","4.15","4.17","4.41","16.6"
"Astros","77","41","30","465","118","1061.0","10.14","2.83","1.46",".264","77.0 %","43.7 %","16.9 %","3.72","4.10","3.90","15.6"
"Athletics","67","51","28","518","119","1072.1","7.70","3.08","1.16",".278","73.9 %","40.9 %","11.5 %","4.05","4.35","4.88","14.1"
"Mets","61","57","28","473","118","1062.2","9.29","3.24","1.27",".307","72.4 %","43.2 %","13.7 %","4.40","4.20","4.41","13.5"
"Yankees","77","41","43","495","118","1050.2","9.31","3.09","1.59",".295","75.3 %","43.0 %","17.1 %","4.33","4.56","4.31","13.2"
"Reds","56","60","34","509","116","1029.0","9.74","3.44","1.33",".293","75.7 %","44.7 %","16.6 %","4.06","4.24","4.08","12.9"
"Rangers","59","58","26","464","117","1039.0","8.69","3.54","1.46",".312","71.8 %","41.8 %","15.1 %","4.89","4.72","4.74","12.4"
"Red Sox","62","58","23","546","121","1092.1","9.94","3.50","1.36",".313","69.8 %","42.4 %","14.8 %","4.81","4.30","4.37","11.8"
"Cubs","64","54","30","513","118","1052.0","8.77","3.18","1.28",".293","74.8 %","45.8 %","15.7 %","4.05","4.33","4.27","11.5"
"Diamondbacks","59","59","27","496","118","1062.2","8.70","3.13","1.29",".292","72.8 %","43.1 %","14.6 %","4.32","4.30","4.39","11.2"
"Cardinals","61","55","36","495","116","1027.1","8.79","3.44","1.28",".289","74.8 %","45.0 %","15.7 %","4.08","4.41","4.35","10.2"
"Padres","55","62","38","495","117","1038.1","9.01","2.76","1.35",".298","70.4 %","43.5 %","14.9 %","4.55","4.22","4.27","10.0"
"Brewers","62","57","34","523","119","1072.1","9.18","3.51","1.38",".300","72.0 %","42.2 %","15.7 %","4.60","4.47","4.40","9.6"
"Tigers","35","80","23","531","116","1030.0","8.31","3.29","1.54",".311","68.3 %","43.0 %","15.5 %","5.20","4.82","4.78","8.8"
"White Sox","52","64","25","497","116","1016.1","8.16","3.70","1.47",".302","71.3 %","42.8 %","15.1 %","4.86","4.87","4.89","8.5"
"Rockies","53","65","20","517","118","1053.0","8.11","3.48","1.56",".313","67.6 %","46.8 %","18.1 %","5.56","4.94","4.58","8.3"
"Blue Jays","49","72","23","529","121","1073.2","8.27","3.66","1.39",".303","72.3 %","43.6 %","14.6 %","4.71","4.75","4.83","7.2"
"Braves","70","50","31","538","120","1073.2","8.59","3.68","1.30",".303","72.6 %","44.7 %","15.0 %","4.43","4.56","4.59","6.8"
"Marlins","44","73","21","484","117","1041.1","8.80","3.75","1.37",".282","73.2 %","38.8 %","13.7 %","4.47","4.65","4.88","6.7"
"Pirates","48","69","23","497","117","1037.0","8.92","3.58","1.51",".309","69.3 %","41.4 %","15.4 %","5.08","4.78","4.75","6.5"
"Royals","43","76","25","479","120","1056.0","7.93","3.61","1.36",".311","71.0 %","44.0 %","14.8 %","5.00","4.80","4.86","6.4"
"Giants","59","60","31","521","119","1078.0","8.50","3.15","1.38",".292","72.7 %","41.9 %","15.0 %","4.37","4.51","4.54","5.9"
"Angels","58","61","25","525","119","1055.1","8.89","3.60","1.64",".290","71.5 %","39.8 %","16.4 %","5.02","4.95","4.79","5.1"
"Phillies","60","58","28","509","118","1060.0","8.58","3.40","1.66",".300","74.9 %","42.8 %","18.2 %","4.65","5.00","4.60","4.5"
"Mariners","48","71","24","492","119","1053.2","7.76","3.07","1.74",".295","67.2 %","43.0 %","17.2 %","5.17","5.13","4.84","4.0"
"Orioles","39","78","23","489","117","1039.1","7.86","3.60","2.09",".293","68.0 %","40.0 %","18.6 %","5.92","5.84","5.30","1.2"
