"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Giants","1755.0","3","-1","2","-2","3","1","22","3","33","236","198",".839","78","","5.3","1.9","0.0","3.1","1.3","6.3","15.1","9.3"
"Rays","1719.0","3","1","1","1","2","2","3","-1","12","216","179",".829","75","","2.3","0.3","0.1","3.4","1.3","5.1","12.6","7.1"
"Phillies","1689.0","-1","0","2","0","-2","-1","-13","-3","-15","278","212",".763","67","","2.0","1.6","0.1","1.5","-0.7","2.5","14.5","5.5"
"Athletics","1851.0","-3","-2","1","0","6","1","-1","2","4","303","248",".819","68","","-2.1","4.1","0.6","-3.0","3.3","5.0","12.2","5.0"
"Angels","1620.0","0","-1","-1","0","-2","5","5","-1","4","242","202",".835","76","","-2.3","0.6","1.2","3.1","1.0","6.0","11.2","5.0"
"Padres","1773.0","1","1","0","-2","3","1","10","2","15","255","203",".796","89","","0.8","1.3","-0.6","4.1","1.0","5.8","14.8","4.8"
"Orioles","1746.0","-4","0","3","1","-2","0","-12","1","-9","265","214",".808","100","","-2.9","0.7","0.1","-3.2","1.1","-1.4","-1.2","4.6"
"Diamondbacks","1701.0","2","1","0","1","-1","-1","6","11","17","228","189",".829","81","","1.7","1.3","-0.2","1.1","0.3","2.5","8.1","4.1"
"Braves","1593.0","0","-1","0","0","0","-1","9","3","8","242","204",".843","64","","1.1","0.0","-0.3","0.8","2.1","2.5","4.8","3.6"
"Indians","1566.0","2","0","0","0","1","1","-1","0","3","214","172",".804","67","","-0.5","-0.2","0.0","0.6","1.0","1.5","2.5","2.5"
"Blue Jays","1761.0","1","0","1","0","3","1","-3","8","11","250","210",".840","85","","4.2","-1.1","0.2","0.3","0.9","0.4","-3.7","2.4"
"Tigers","1539.0","1","-1","1","-1","1","-1","3","2","4","235","192",".817","56","","1.0","-2.8","-0.3","3.1","0.9","0.9","-11.7","1.9"
"Rangers","1506.0","0","0","-2","1","-2","0","6","-2","1","259","209",".807","64","","-5.5","-0.7","0.6","3.3","-0.6","2.6","1.9","1.6"
"Dodgers","1854.0","2","2","0","0","3","-1","5","7","17","266","223",".838","73","","2.1","2.0","-0.3","-2.9","2.7","1.5","8.9","1.5"
"Red Sox","1617.0","-1","0","1","1","2","-2","-13","1","-11","249","207",".831","58","","1.7","0.5","-0.8","0.5","0.2","0.4","2.8","1.4"
"Twins","1440.0","-1","1","0","-1","2","1","-4","0","0","212","170",".802","63","","-0.7","0.7","0.1","0.5","-0.4","1.0","4.7","1.3"
"Rockies","1767.0","-3","1","2","0","-1","0","6","7","13","275","222",".807","91","","-2.3","-2.2","0.4","0.9","-0.3","-1.1","-5.7","0.9"
"Astros","1557.0","1","1","0","-2","-2","1","12","5","16","201","164",".816","91","","2.5","0.1","-0.5","1.6","-0.8","0.4","2.3","-0.6"
"Royals","1665.0","2","2","-1","0","3","3","-5","3","5","252","203",".806","75","","3.7","-0.1","0.0","-0.4","0.7","0.2","0.5","-0.8"
"Cardinals","1593.0","-2","-1","0","2","0","-2","10","6","16","230","193",".839","63","","-2.3","1.2","0.0","-0.3","0.2","1.0","6.0","-1.2"
"Cubs","1479.0","-2","1","1","0","1","-1","-4","3","0","226","184",".814","55","","-5.1","-1.4","0.6","-2.0","-1.2","-4.0","-13.0","-2.0"
"Brewers","1746.0","1","-2","-1","0","-4","2","7","3","6","236","185",".784","85","","1.1","0.0","-0.2","-0.6","-0.1","-1.0","-2.4","-2.0"
"Pirates","1449.0","1","0","0","1","-1","-2","-3","3","-2","209","176",".842","60","","0.7","-0.2","0.4","2.3","-5.1","-2.6","-9.3","-2.6"
"Marlins","1620.0","1","0","0","0","0","2","-10","2","-6","262","207",".790","58","","3.3","0.4","0.1","-0.7","-1.9","-2.1","-5.0","-3.1"
"Yankees","1569.0","0","0","-1","0","1","2","-10","0","-10","238","183",".769","75","","-3.7","0.2","-0.2","-0.4","0.3","-0.1","0.5","-3.1"
"Reds","1587.0","1","-1","-2","2","-1","2","9","0","9","213","172",".808","69","","1.8","-2.9","0.9","0.0","1.3","-0.7","-10.4","-3.7"
"Nationals","1449.0","-2","0","0","0","-1","-3","-8","3","-12","202","164",".812","65","","-1.3","-2.1","-0.6","-3.4","0.5","-5.6","-17.1","-5.6"
"White Sox","1476.0","0","1","-2","0","-2","-4","-9","6","-13","225","180",".800","71","","-2.4","-0.8","-0.5","-2.2","-2.0","-5.5","-11.8","-9.5"
"Mets","1587.0","-4","1","-1","-1","0","-3","-11","-2","-21","240","189",".788","69","","-5.3","1.0","-0.7","-3.9","-0.2","-3.7","-3.6","-11.0"
"Mariners","1971.0","-2","-2","-1","-2","-5","-2","-11","2","-25","329","256",".778","89","","-1.2","-3.4","-0.6","-7.3","-5.9","-17.2","-24.3","-19.2"
