"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Pirates","5","0","3","19","5","43.0","9.00","1.88","0.00",".325","79.6 %","41.6 %","0.0 %","2.09","1.86","3.54","1.8"
"Dodgers","6","1","3","27","7","62.0","9.87","2.03","1.02",".217","86.0 %","38.7 %","10.3 %","2.03","3.14","3.76","1.6"
"Cubs","4","1","1","18","5","45.0","11.20","2.40","0.80",".318","92.5 %","58.3 %","16.7 %","1.60","2.63","2.49","1.4"
"Rockies","5","1","1","27","6","57.0","8.21","2.53","0.95",".282","85.8 %","53.2 %","15.0 %","2.68","3.64","3.60","1.2"
"Yankees","4","2","1","24","6","54.0","11.00","3.33","1.17",".282","84.6 %","40.6 %","14.9 %","2.83","3.50","3.47","1.1"
"Mariners","3","4","3","32","7","63.0","7.86","3.00","1.00",".333","72.7 %","40.2 %","11.3 %","4.43","3.89","4.32","1.1"
"Twins","4","3","3","27","7","63.0","8.29","2.57","1.57",".326","73.7 %","36.2 %","14.7 %","5.00","4.52","4.52","1.1"
"Reds","3","4","3","36","7","62.0","10.74","3.19","1.31",".274","76.2 %","50.3 %","19.1 %","3.92","3.76","3.31","1.0"
"Phillies","4","3","4","34","7","71.2","9.42","3.14","1.38",".304","84.4 %","47.6 %","16.7 %","3.27","4.21","3.97","1.0"
"Nationals","2","3","1","20","5","44.0","9.41","3.07","1.23",".311","63.4 %","48.0 %","15.0 %","5.52","4.01","3.96","0.9"
"Astros","3","2","1","19","5","43.0","9.63","2.93","1.05",".212","74.3 %","36.5 %","10.9 %","3.14","3.58","4.11","0.8"
"Diamondbacks","5","1","4","22","6","54.0","9.17","3.67","0.83",".275","82.5 %","42.1 %","10.4 %","3.00","3.76","4.25","0.8"
"Red Sox","3","3","2","25","6","52.0","9.69","3.29","1.56",".303","70.7 %","42.9 %","17.3 %","4.85","4.52","4.17","0.6"
"Blue Jays","5","2","3","29","7","62.0","7.84","3.92","1.02",".249","75.5 %","46.6 %","11.5 %","3.34","4.13","4.53","0.6"
"White Sox","4","2","2","26","6","54.0","7.17","3.83","1.17",".248","78.1 %","37.5 %","10.6 %","3.50","4.69","5.33","0.6"
"Rays","3","3","1","29","6","56.0","8.84","2.73","1.29",".289","76.5 %","43.9 %","16.3 %","4.02","4.01","3.81","0.5"
"Braves","2","4","1","33","6","54.0","10.50","4.83","0.83",".351","69.7 %","42.2 %","11.1 %","5.17","4.08","4.46","0.5"
"Marlins","1","4","0","24","5","50.0","8.64","3.60","0.90",".309","75.4 %","43.6 %","9.3 %","3.96","3.98","4.73","0.5"
"Rangers","5","1","3","23","6","54.0","6.83","3.83","1.50",".280","75.7 %","40.0 %","15.0 %","4.83","5.24","5.19","0.4"
"Indians","4","2","3","28","6","53.0","10.36","4.58","1.53",".266","75.3 %","37.8 %","15.5 %","4.58","4.59","4.46","0.4"
"Padres","0","6","0","20","6","55.0","8.67","1.80","2.13",".248","67.0 %","42.9 %","20.6 %","4.91","4.84","3.95","0.2"
"Athletics","1","4","1","23","5","44.0","8.80","4.09","1.64",".282","62.3 %","35.7 %","14.8 %","6.55","5.28","5.25","0.2"
"Tigers","1","4","1","24","5","46.0","6.85","2.93","1.57",".289","68.8 %","52.0 %","18.6 %","4.70","4.88","4.39","0.2"
"Giants","1","5","0","22","6","47.0","10.53","4.21","1.72",".289","73.0 %","38.3 %","22.0 %","5.17","4.78","3.95","0.2"
"Cardinals","3","3","2","28","6","52.0","9.35","3.81","1.90",".319","72.8 %","47.4 %","22.0 %","5.37","5.10","4.17","0.0"
"Mets","2","4","2","25","6","52.0","8.31","5.88","2.08",".312","65.7 %","35.6 %","17.1 %","6.75","6.33","5.88","0.0"
"Brewers","3","4","0","34","7","62.0","8.85","4.94","1.60",".295","79.2 %","39.5 %","16.2 %","4.65","5.13","4.91","-0.2"
"Royals","3","4","1","25","7","60.0","7.95","4.20","1.95",".300","75.8 %","47.0 %","22.4 %","5.40","5.75","4.77","-0.2"
"Orioles","2","5","0","32","7","62.0","8.13","3.05","2.61",".287","71.4 %","37.0 %","22.5 %","6.39","6.23","4.90","-0.3"
"Angels","0","6","0","28","6","51.0","8.12","6.35","2.82",".281","70.3 %","43.4 %","24.6 %","7.41","7.61","5.95","-1.3"
