"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Red Sox","95","284","12","48","47","5","10.9 %","18.7 %",".200",".335",".302",".378",".502",".371","130","0.1","10.6","0.5","2.1"
"Dodgers","86","233","7","31","31","3","8.2 %","22.3 %",".152",".314",".262",".323",".414",".318","101","1.3","1.4","3.2","1.2"
"Astros","83","233","10","33","32","2","7.7 %","19.3 %",".213",".287",".266",".323",".478",".335","113","-0.2","3.7","0.1","1.2"
"Diamondbacks","78","209","11","30","29","0","8.6 %","19.6 %",".254",".266",".254",".316",".508",".343","113","-0.6","2.5","2.0","1.1"
"Royals","90","264","6","38","37","6","9.5 %","22.3 %",".185",".298",".246",".322",".431",".321","99","0.8","0.6","1.1","1.1"
"Cubs","75","218","11","33","33","2","10.6 %","27.5 %",".232",".294",".249",".336",".481",".340","112","-0.3","2.9","0.2","1.0"
"Braves","104","271","9","37","36","0","8.9 %","17.0 %",".169",".289",".264",".330",".434",".324","98","0.2","-0.5","1.8","1.0"
"Padres","102","270","12","32","30","2","5.9 %","26.3 %",".187",".291",".244",".296",".431",".310","92","-0.4","-3.2","3.4","0.9"
"Reds","106","279","11","31","29","8","10.4 %","22.2 %",".176",".256",".225",".317",".402",".309","89","0.3","-3.6","3.4","0.9"
"Phillies","73","181","3","25","23","1","8.3 %","24.3 %",".150",".333",".256",".333",".406",".321","99","-0.2","-0.6","1.3","0.6"
"Angels","77","185","6","25","23","5","8.6 %","13.5 %",".164",".274",".261",".328",".424",".320","103","0.2","0.9","-1.1","0.6"
"Rockies","103","275","11","44","42","4","9.8 %","23.3 %",".202",".266",".231",".311",".434",".319","83","1.3","-5.1","2.3","0.6"
"Athletics","86","245","3","30","30","1","11.0 %","22.9 %",".117",".301",".234",".327",".350",".299","88","-0.5","-4.2","0.8","0.5"
"Pirates","82","207","6","26","26","1","7.2 %","22.2 %",".160",".324",".266",".324",".426",".319","101","0.1","0.2","-1.8","0.5"
"Twins","89","245","9","29","28","2","9.0 %","22.9 %",".204",".234",".208",".287",".412",".298","84","0.1","-4.9","1.2","0.5"
"Rays","86","256","5","27","26","2","8.6 %","18.8 %",".144",".270",".231",".305",".376",".294","85","0.1","-4.6","0.4","0.5"
"Yankees","72","184","6","23","20","1","9.2 %","22.3 %",".141",".302",".252",".333",".393",".319","98","0.0","-0.7","-1.4","0.4"
"Cardinals","98","263","2","25","24","8","9.1 %","25.9 %",".086",".329",".240",".318",".326",".286","76","1.0","-7.1","2.7","0.4"
"Giants","93","226","4","27","27","1","6.6 %","23.5 %",".115",".314",".250",".298",".365",".287","79","0.2","-6.0","1.9","0.3"
"White Sox","105","262","6","29","29","0","8.4 %","29.4 %",".125",".327",".237",".318",".362",".297","86","-0.4","-4.8","-2.0","0.2"
"Rangers","75","214","9","31","30","4","11.2 %","24.8 %",".180",".258",".222",".308",".402",".304","84","0.5","-4.0","-1.2","0.2"
"Indians","68","175","7","17","16","4","7.4 %","24.0 %",".172",".264",".229",".285",".401",".293","77","0.3","-4.8","0.7","0.2"
"Nationals","106","272","10","27","22","2","7.4 %","25.4 %",".138",".284",".235",".299",".372",".290","76","-0.1","-8.5","0.9","0.1"
"Brewers","108","278","8","28","27","3","7.9 %","22.3 %",".133",".269",".227",".288",".359",".281","72","0.3","-10.1","2.1","0.1"
"Orioles","80","219","5","18","15","2","5.9 %","24.7 %",".129",".294",".234",".286",".363",".280","72","0.3","-7.2","-0.6","0.0"
"Tigers","72","183","4","14","13","1","8.2 %","30.1 %",".108",".306",".222",".290",".329",".271","68","-1.1","-8.6","0.1","-0.2"
"Blue Jays","92","240","5","19","17","0","7.5 %","26.7 %",".119",".285",".219",".277",".338",".267","65","-0.4","-10.9","0.3","-0.2"
"Mariners","72","177","6","11","9","1","8.5 %","30.5 %",".168",".248",".193",".266",".360",".272","73","0.4","-5.7","-4.0","-0.4"
"Marlins","69","179","1","13","13","0","7.3 %","22.3 %",".032",".259",".197",".280",".229",".238","49","-1.1","-12.9","1.6","-0.6"
"Mets","109","276","3","18","18","3","7.6 %","27.9 %",".096",".273",".199",".265",".295",".246","55","0.6","-15.4","0.7","-0.6"
