"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","611","1620","67","221","214","14","10.9 %","20.6 %",".201",".287",".256",".344",".456",".341","117","3.5","36.9","18.2","10.7"
"Astros","543","1527","71","206","204","16","9.7 %","19.1 %",".217",".301",".276",".350",".493",".357","129","-4.3","51.2","-0.5","10.4"
"Twins","526","1435","70","203","194","10","8.3 %","19.5 %",".236",".283",".263",".332",".499",".351","118","-3.1","29.5","6.1","8.5"
"Rays","550","1476","47","179","173","25","9.9 %","24.2 %",".183",".316",".256",".336",".439",".333","112","2.9","23.8","2.1","7.7"
"Cardinals","597","1539","47","200","186","23","9.8 %","21.8 %",".161",".310",".259",".340",".419",".328","105","2.7","12.0","14.8","7.6"
"Cubs","543","1479","57","202","195","12","11.6 %","22.5 %",".198",".298",".254",".350",".452",".342","114","-1.1","23.9","4.8","7.6"
"Diamondbacks","573","1591","57","202","193","19","7.9 %","22.6 %",".197",".302",".256",".322",".453",".329","104","-1.4","5.4","13.1","6.9"
"Braves","585","1542","52","191","184","14","9.6 %","21.4 %",".179",".303",".259",".335",".438",".330","104","1.9","9.2","7.2","6.5"
"Brewers","611","1578","67","198","195","21","9.9 %","25.4 %",".188",".289",".242",".324",".430",".322","99","2.4","0.8","12.9","6.4"
"Phillies","555","1496","44","196","187","7","10.6 %","22.4 %",".170",".297",".246",".334",".416",".322","100","-0.1","0.5","10.8","5.9"
"Angels","580","1482","54","194","187","17","9.4 %","15.5 %",".180",".261",".248",".326",".427",".322","105","-0.5","9.0","-1.6","5.9"
"Mariners","596","1647","77","228","224","29","9.8 %","25.1 %",".220",".285",".245",".325",".465",".336","116","3.5","36.2","-35.1","5.8"
"Mets","597","1539","44","180","172","16","9.2 %","24.8 %",".152",".315",".250",".330",".402",".317","102","1.7","6.1","2.1","5.7"
"Yankees","545","1470","56","193","180","21","9.6 %","22.3 %",".177",".294",".253",".332",".430",".328","104","2.5","9.7","-6.9","5.4"
"Red Sox","573","1557","52","209","199","22","10.9 %","20.6 %",".168",".289",".251",".337",".418",".325","99","-1.7","-3.3","-1.1","4.9"
"Royals","556","1513","48","185","179","40","8.9 %","23.0 %",".187",".288",".242",".315",".429",".317","97","0.2","-5.6","2.4","4.9"
"Rangers","520","1430","55","208","200","32","10.4 %","25.5 %",".198",".300",".245",".331",".443",".332","101","0.2","1.1","-4.4","4.6"
"Athletics","603","1582","50","183","173","14","9.3 %","19.7 %",".158",".269",".237",".316",".395",".308","95","0.3","-10.1","0.4","4.5"
"Padres","576","1443","59","155","150","18","6.9 %","26.5 %",".184",".277",".231",".289",".415",".300","88","-4.6","-26.5","18.9","3.8"
"White Sox","550","1432","46","177","171","30","7.9 %","25.6 %",".159",".320",".254",".321",".413",".317","100","4.6","4.4","-18.8","3.5"
"Nationals","572","1494","52","176","167","24","8.4 %","26.0 %",".163",".298",".240",".314",".403",".309","90","-0.1","-19.0","3.4","3.2"
"Rockies","580","1518","48","197","191","16","7.9 %","24.3 %",".188",".302",".247",".310",".435",".317","81","0.3","-36.1","11.9","2.4"
"Giants","576","1437","36","151","148","12","7.4 %","24.1 %",".143",".271",".222",".285",".364",".280","76","-1.7","-45.8","20.6","2.0"
"Reds","619","1484","58","166","163","19","8.7 %","23.6 %",".177",".244",".214",".292",".391",".294","79","-4.1","-42.6","9.4","1.4"
"Orioles","558","1463","42","154","140","19","6.8 %","23.6 %",".149",".287",".236",".296",".385",".294","82","0.8","-31.8","-5.6","1.3"
"Pirates","544","1355","31","128","124","17","7.4 %","23.0 %",".137",".288",".234",".296",".370",".287","79","1.7","-34.4","0.8","0.9"
"Blue Jays","562","1428","38","140","132","8","7.8 %","26.2 %",".143",".279",".221",".287",".364",".282","75","-2.0","-45.9","1.5","0.5"
"Tigers","525","1376","30","129","122","12","8.0 %","26.2 %",".147",".294",".228",".296",".375",".290","80","-4.3","-38.3","-5.9","0.3"
"Indians","557","1389","34","134","120","26","9.6 %","25.7 %",".125",".282",".222",".302",".347",".284","72","3.7","-44.1","-1.3","0.2"
"Marlins","569","1427","24","105","102","15","7.1 %","25.0 %",".091",".282",".219",".283",".310",".263","65","-4.6","-66.4","4.9","-1.6"
