"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","3574","491","44","8.0%","21.5%",".192",".302",".264",".327",".457",".337","112","-4.4","31.5%","86.3%","41.6%"
"HOU","3851","535","37","9.5%","19.4%",".169",".301",".265",".339",".434",".334","117","-8.7","28.8%","88.1%","40.2%"
"LAD","3918","525","31","10.5%","23.0%",".181",".287",".243",".335",".424",".330","110","3.2","27.2%","84.9%","40.1%"
"SFG","3750","484","42","10.2%","24.7%",".193",".292",".243",".327",".437",".329","108","-7.7","27.5%","83.6%","39.3%"
"CHW","3688","494","41","10.1%","23.5%",".163",".312",".254",".336",".417",".329","111","5.6","33.0%","84.8%","39.2%"
"BOS","3753","509","32","7.7%","23.1%",".185",".305",".257",".320",".442",".328","104","0.8","34.8%","82.9%","42.0%"
"LAA","3659","469","37","7.0%","22.9%",".181",".305",".257",".317",".438",".325","107","-1.1","33.3%","85.4%","36.9%"
"CIN","3798","477","24","9.1%","23.3%",".164",".301",".249",".330",".413",".324","99","-11.5","30.9%","85.0%","38.0%"
"WSN","3620","425","44","8.3%","22.3%",".160",".307",".256",".329",".416",".324","100","-11.9","28.9%","85.5%","41.1%"
"ATL","3688","472","44","9.7%","24.4%",".187",".288",".240",".321",".428",".323","99","6.4","31.1%","82.8%","41.0%"
"SDP","3886","491","91","10.3%","22.0%",".166",".287",".244",".328",".409",".320","102","4.5","27.1%","86.1%","40.9%"
"MIN","3735","453","37","8.7%","22.8%",".182",".282",".242",".314",".424",".319","102","-0.9","31.4%","84.1%","41.9%"
"NYY","3663","408","33","10.8%","24.4%",".161",".286",".236",".324",".396",".316","101","-9.9","28.4%","82.9%","42.0%"
"TBR","3838","494","61","9.7%","26.0%",".170",".291",".233",".316",".403",".313","103","8.9","30.3%","80.5%","39.5%"
"PHI","3677","439","59","9.4%","24.6%",".159",".296",".240",".318",".398",".312","94","7.4","30.9%","82.9%","37.2%"
"OAK","3766","441","42","8.9%","23.3%",".172",".275",".233",".311",".404",".311","102","3.2","29.1%","84.9%","40.1%"
"NYM","3425","378","27","9.0%","24.0%",".151",".288",".236",".316",".387",".308","97","-14.5","32.5%","84.4%","37.7%"
"DET","3691","432","61","8.7%","26.3%",".156",".301",".239",".309",".395",".307","93","1.1","32.6%","82.4%","37.8%"
"MIL","3767","439","52","10.2%","25.7%",".159",".277",".223",".314",".383",".306","90","7.4","29.5%","83.2%","38.6%"
"COL","3654","423","58","8.3%","22.4%",".149",".294",".243",".311",".392",".305","75","15.3","32.5%","85.4%","35.3%"
"CHC","3660","421","52","8.6%","26.2%",".169",".278",".225",".305",".394",".305","90","-2.2","32.1%","83.3%","39.7%"
"KCR","3565","408","61","7.4%","22.0%",".148",".291",".244",".306",".393",".304","90","5.4","33.9%","85.2%","39.3%"
"BAL","3615","408","29","7.6%","24.0%",".157",".288",".237",".302",".395",".303","92","-2.2","34.2%","83.8%","35.7%"
"ARI","3848","422","28","9.0%","23.6%",".145",".291",".234",".311",".379",".302","87","3.0","30.3%","84.5%","36.1%"
"STL","3686","403","49","8.1%","22.2%",".155",".275",".233",".304",".388",".301","90","3.3","31.5%","84.1%","37.7%"
"CLE","3503","415","49","7.7%","23.7%",".166",".271",".229",".296",".395",".300","87","2.9","32.9%","83.5%","40.0%"
"PIT","3677","367","33","8.5%","21.9%",".130",".291",".239",".310",".369",".298","86","1.7","30.7%","87.2%","33.1%"
"SEA","3618","411","42","8.7%","26.4%",".161",".268",".218",".294",".380",".295","90","0.3","30.5%","82.6%","36.1%"
"MIA","3695","391","71","7.9%","26.2%",".139",".298",".234",".302",".373",".295","88","1.3","33.1%","83.9%","37.7%"
"TEX","3673","384","55","8.1%","24.3%",".146",".274",".226",".296",".371",".293","85","-5.5","32.1%","82.2%","36.4%"
