"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1114.1","10.09","3.10","1.03",".265","76.4%","3.09","3.59","3.72","1.12"
"SFG","1109.2","8.86","2.62","0.97",".269","74.0%","3.29","3.62","3.89","1.12"
"MIL","1111.0","10.09","3.48","0.97",".276","75.4%","3.37","3.66","3.76","1.19"
"NYY","1097.0","9.62","2.98","1.16",".276","73.7%","3.63","3.81","4.01","1.17"
"HOU","1105.0","9.23","3.31","1.19",".271","76.0%","3.64","4.09","4.10","1.21"
"OAK","1108.2","8.38","2.77","1.07",".283","74.6%","3.68","3.90","4.32","1.21"
"CHW","1084.1","10.32","3.19","1.24",".281","75.0%","3.69","3.84","3.86","1.20"
"TBR","1125.1","9.41","2.78","1.11",".285","72.8%","3.69","3.73","3.92","1.17"
"NYM","1049.2","9.53","3.07","1.20",".285","73.7%","3.76","3.96","3.92","1.21"
"SDP","1117.0","9.72","3.18","1.20",".292","75.5%","3.78","4.00","3.91","1.24"
"TOR","1054.1","9.26","3.17","1.31",".284","74.9%","3.91","4.21","4.12","1.25"
"MIA","1092.0","8.74","3.40","1.01",".286","71.8%","3.96","4.01","4.24","1.27"
"ATL","1087.0","9.19","3.34","1.13",".292","73.5%","4.02","4.03","4.10","1.28"
"STL","1077.1","7.93","4.05","0.92",".273","72.5%","4.06","4.32","4.73","1.32"
"BOS","1086.1","9.64","3.49","1.09",".326","72.1%","4.31","3.92","4.08","1.39"
"SEA","1103.1","8.36","3.08","1.22",".291","70.4%","4.40","4.26","4.41","1.29"
"CLE","1063.1","9.24","3.53","1.33",".283","72.0%","4.40","4.36","4.22","1.29"
"PHI","1082.2","9.29","3.26","1.33",".295","71.8%","4.41","4.27","4.05","1.30"
"CIN","1124.2","9.60","4.05","1.28",".295","72.7%","4.41","4.38","4.27","1.37"
"DET","1098.0","8.11","3.55","1.35",".290","71.7%","4.48","4.69","4.57","1.37"
"CHC","1099.1","8.90","3.77","1.47",".292","72.6%","4.61","4.77","4.32","1.38"
"WSN","1051.1","8.59","3.32","1.54",".282","70.9%","4.64","4.74","4.46","1.32"
"TEX","1082.1","7.93","3.19","1.44",".292","70.9%","4.70","4.68","4.50","1.35"
"LAA","1102.2","9.44","3.75","1.24",".302","69.6%","4.70","4.26","4.18","1.37"
"COL","1070.0","8.29","3.47","1.22",".301","69.9%","4.71","4.38","4.34","1.37"
"KCR","1071.0","8.83","3.88","1.25",".303","70.6%","4.80","4.45","4.48","1.40"
"MIN","1086.0","8.40","3.07","1.54",".291","67.6%","4.95","4.68","4.39","1.33"
"PIT","1062.1","8.51","3.86","1.34",".298","69.6%","5.02","4.67","4.65","1.41"
"ARI","1090.1","8.00","3.48","1.46",".303","67.8%","5.27","4.84","4.78","1.44"
"BAL","1061.1","8.38","3.72","1.60",".311","67.0%","5.80","5.01","4.77","1.50"
