"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","54.2","9.22","2.47","1.15",".265","84.3%","2.63","3.66","3.88","1.12"
"SEA","57.0","7.11","2.21","0.47",".280","78.0%","2.68","3.22","4.78","1.11"
"SFG","65.0","9.28","3.88","0.69",".283","74.0%","2.91","3.49","4.02","1.26"
"MIA","42.0","7.07","2.14","1.29",".248","80.3%","3.21","4.31","4.23","1.07"
"CHC","56.0","8.84","3.70","1.13",".257","75.2%","3.21","4.27","4.26","1.20"
"LAA","54.0","9.00","2.67","1.17",".315","75.2%","3.50","3.91","3.70","1.26"
"TBR","63.0","9.71","3.00","1.00",".318","77.6%","3.57","3.45","3.98","1.30"
"TEX","52.0","7.10","3.29","1.73",".219","76.6%","3.63","5.19","4.87","1.17"
"CLE","54.2","7.57","3.95","1.15",".255","77.5%","3.79","4.58","4.96","1.30"
"SDP","53.0","8.32","3.06","1.19",".262","74.7%","3.91","4.22","4.45","1.19"
"NYM","50.0","9.00","3.60","1.26",".262","71.4%","4.14","4.31","4.37","1.22"
"KCR","56.0","8.84","3.38","1.13",".312","72.5%","4.18","3.95","4.23","1.36"
"BAL","53.0","6.79","3.91","1.53",".199","70.0%","4.25","5.34","5.44","1.15"
"MIL","62.0","10.31","3.77","1.60",".271","77.7%","4.35","4.54","4.18","1.27"
"HOU","50.1","9.12","4.47","1.25",".272","74.8%","4.47","4.68","4.60","1.31"
"TOR","54.0","10.00","3.17","1.00",".265","62.3%","4.50","3.61","4.14","1.11"
"ATL","58.0","8.69","2.79","1.71",".247","72.8%","4.50","4.79","3.76","1.14"
"CHW","43.0","9.42","2.93","1.05",".293","61.7%","4.81","3.63","3.89","1.23"
"NYY","54.0","12.17","3.17","1.17",".333","67.0%","4.83","3.31","3.60","1.28"
"BOS","61.0","8.85","3.54","1.03",".306","67.8%","5.02","4.12","4.46","1.36"
"MIN","52.0","7.10","1.90","2.08",".250","73.0%","5.02","5.34","4.56","1.15"
"COL","61.0","5.31","3.54","2.07",".223","70.7%","5.16","6.20","5.37","1.28"
"ARI","57.0","6.79","3.79","1.42",".285","65.8%","5.21","5.08","5.36","1.44"
"PHI","53.0","9.34","4.25","1.19",".275","64.3%","5.26","4.28","4.40","1.34"
"CIN","50.0","9.72","2.70","2.16",".333","71.2%","5.40","5.09","3.71","1.44"
"DET","62.0","7.69","3.63","1.45",".299","67.1%","5.52","4.76","5.16","1.45"
"STL","47.1","7.42","3.61","1.52",".321","67.4%","5.70","4.92","4.75","1.52"
"PIT","51.0","8.29","4.41","2.29",".340","70.5%","6.88","6.28","5.20","1.75"
"WSN","62.0","8.42","4.35","1.89",".356","58.3%","7.55","5.67","5.09","1.81"
"OAK","50.0","7.74","3.24","3.24",".323","68.4%","8.28","7.51","5.31","1.72"
