"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","55.2","9.70","2.43","0.65",".176","87.9%","0.97","2.75","3.20","0.74"
"COL","43.0","8.16","2.51","0.84",".275","90.3%","2.09","3.48","3.83","1.14"
"CHC","54.0","8.67","3.33","1.00",".216","88.7%","2.17","3.90","3.95","1.02"
"HOU","63.0","12.43","2.14","0.57",".260","78.5%","2.29","1.93","2.12","0.84"
"MIN","66.2","8.37","2.84","0.41",".257","76.6%","2.30","3.05","4.05","1.05"
"SDP","52.0","9.17","0.69","1.38",".206","90.6%","2.42","3.47","3.16","0.73"
"ATL","52.0","10.56","3.12","0.69",".262","81.7%","2.42","2.91","3.32","1.06"
"STL","65.0","8.31","2.77","0.69",".280","81.1%","2.49","3.41","3.92","1.17"
"CHW","56.2","10.16","2.22","0.64",".236","72.7%","2.54","2.51","3.14","0.90"
"CLE","78.0","8.54","2.31","1.50",".244","83.3%","3.12","4.22","3.70","1.04"
"TBR","69.0","8.22","1.43","0.91",".275","76.7%","3.13","3.25","3.53","1.03"
"NYM","63.0","13.71","2.00","1.00",".272","72.6%","3.14","2.31","1.98","0.87"
"SFG","55.0","7.36","3.11","0.33",".317","69.8%","3.60","2.98","3.81","1.33"
"SEA","42.0","11.36","2.79","1.29",".308","78.5%","3.64","3.51","3.39","1.21"
"CIN","80.0","8.66","3.94","1.13",".255","74.2%","3.71","4.27","4.19","1.24"
"TOR","72.0","6.63","2.75","1.00",".262","74.9%","3.75","4.20","4.62","1.18"
"LAA","51.0","7.59","2.82","1.41",".290","81.3%","3.88","4.58","3.94","1.29"
"BOS","46.0","8.61","3.13","0.78",".326","66.8%","3.91","3.37","3.85","1.39"
"PIT","68.0","8.47","4.76","0.79",".273","75.6%","3.97","4.31","4.72","1.37"
"BAL","43.0","7.53","2.93","1.47",".233","72.8%","3.98","4.67","4.07","1.14"
"MIA","70.0","9.00","3.34","1.67",".267","82.2%","3.99","4.85","3.75","1.21"
"WSN","45.0","7.20","2.60","1.00",".313","77.2%","4.00","4.08","4.19","1.33"
"PHI","50.0","8.64","2.52","1.44",".267","74.8%","4.14","4.11","3.90","1.16"
"ARI","64.0","6.75","3.23","1.83",".223","74.8%","4.36","5.33","5.08","1.20"
"DET","57.0","7.26","2.05","1.11",".266","63.1%","4.74","3.98","4.06","1.16"
"MIL","44.0","8.59","3.27","1.84",".312","73.5%","4.91","5.15","3.81","1.45"
"KCR","49.0","8.45","4.22","0.92",".359","71.2%","5.14","4.03","4.03","1.61"
"NYY","44.2","11.08","4.03","1.61",".279","66.9%","5.24","4.52","3.79","1.32"
"TEX","60.0","8.40","3.00","1.05",".313","61.4%","5.70","4.06","3.90","1.37"
"OAK","50.1","6.97","2.68","2.86",".305","68.8%","7.15","6.82","4.61","1.55"
