"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Dodgers","6","0","4","39","6","54.0","11.83","3.33","0.00",".264","83.9 %","46.8 %","0.0 %","1.50","1.86","3.15","2.1"
"Twins","5","1","2","27","6","50.1","10.73","1.79","0.54",".303","73.8 %","32.8 %","5.1 %","2.86","2.20","3.76","2.1"
"Astros","5","1","4","27","6","56.2","11.12","1.91","0.64",".203","82.9 %","46.4 %","9.5 %","1.75","2.40","2.96","2.1"
"Athletics","3","3","3","27","6","51.2","8.71","2.61","0.35",".281","81.5 %","37.0 %","3.8 %","2.26","2.77","4.27","1.8"
"Nationals","8","0","4","36","8","72.0","10.00","2.25","1.38",".228","83.3 %","42.5 %","17.2 %","3.00","3.73","3.51","1.5"
"Rays","4","2","1","38","6","55.0","11.29","3.44","0.82",".281","79.7 %","42.6 %","10.0 %","3.11","3.25","3.88","1.3"
"Mets","5","2","2","33","7","67.0","10.48","2.15","1.48",".285","81.2 %","49.4 %","18.0 %","3.22","3.87","3.55","1.2"
"Pirates","4","2","1","29","6","57.0","9.32","4.58","0.79",".295","81.1 %","46.7 %","10.2 %","3.16","3.97","4.54","0.9"
"White Sox","4","2","2","28","6","54.0","9.83","2.83","1.50",".252","80.2 %","47.8 %","20.5 %","3.50","4.20","3.65","0.9"
"Tigers","1","5","1","26","6","52.0","9.52","2.77","1.38",".310","63.1 %","40.1 %","16.0 %","4.85","4.31","4.22","0.8"
"Reds","2","4","1","30","6","56.2","8.42","3.34","0.95",".260","69.3 %","45.8 %","10.7 %","3.81","3.99","4.58","0.8"
"Diamondbacks","5","1","3","38","6","64.0","10.55","2.67","1.55",".291","83.3 %","44.0 %","18.3 %","3.66","4.14","3.77","0.8"
"Phillies","2","6","0","40","8","73.0","9.86","3.45","1.73",".307","76.7 %","40.3 %","19.4 %","4.56","4.79","4.26","0.7"
"Cubs","2","4","1","32","6","50.0","9.54","4.32","1.26",".351","62.7 %","38.7 %","11.7 %","6.12","4.65","5.22","0.6"
"Marlins","3","4","2","44","7","67.2","8.65","4.26","1.20",".306","73.1 %","37.5 %","11.7 %","4.26","4.71","5.24","0.6"
"Brewers","3","3","2","34","6","56.0","9.16","3.70","1.45",".278","80.1 %","44.2 %","17.0 %","3.70","4.55","4.35","0.6"
"Giants","2","4","0","45","6","61.0","10.92","3.84","1.48",".303","75.3 %","48.1 %","20.4 %","4.57","4.44","3.91","0.5"
"Indians","1","5","0","29","6","49.0","10.29","3.67","1.65",".403","61.0 %","39.5 %","15.5 %","7.35","4.60","4.57","0.5"
"Braves","1","4","0","31","5","43.2","10.51","2.06","1.44",".357","70.9 %","40.5 %","16.7 %","5.15","3.92","3.75","0.5"
"Mariners","2","4","1","32","6","54.0","6.33","4.00","1.00",".188","89.2 %","40.0 %","10.0 %","2.33","4.70","5.46","0.5"
"Yankees","1","4","0","40","5","44.0","10.64","4.30","1.64",".339","70.9 %","38.3 %","16.0 %","5.11","4.78","4.68","0.5"
"Cardinals","2","4","1","39","6","62.2","10.05","4.02","1.44",".317","72.7 %","40.1 %","18.5 %","4.74","4.49","4.13","0.5"
"Rockies","4","2","1","41","6","64.1","7.55","3.50","1.40",".264","81.4 %","42.0 %","15.6 %","3.78","4.86","4.82","0.4"
"Blue Jays","4","2","2","41","6","60.0","10.05","3.90","1.80",".308","77.6 %","39.8 %","19.7 %","4.80","5.03","4.45","0.3"
"Rangers","3","3","1","28","6","54.0","9.50","3.00","2.17",".345","57.1 %","45.3 %","22.8 %","6.83","5.29","4.26","0.2"
"Red Sox","3","4","1","38","7","61.0","9.74","4.57","1.77",".301","65.2 %","43.4 %","20.0 %","6.34","5.28","4.68","0.2"
"Orioles","3","3","0","33","6","57.2","8.12","3.28","1.72",".265","80.2 %","38.9 %","17.7 %","4.06","5.35","5.01","0.2"
"Padres","0","6","0","30","6","51.2","9.41","3.83","1.57",".242","74.9 %","51.5 %","21.4 %","4.35","4.90","4.25","0.2"
"Royals","2","3","0","26","5","43.0","7.12","2.72","1.67",".319","65.7 %","37.8 %","14.0 %","6.07","5.10","5.32","0.1"
"Angels","2","4","1","42","6","57.0","8.53","4.42","1.89",".272","86.5 %","38.3 %","19.0 %","4.11","5.74","5.20","-0.2"
