"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"HOU","250","41","6","10.8%","18.8%",".235",".304",".281",".364",".516",".384","163","1.1","28.9%","87.5%","43.9%"
"PHI","284","50","9","7.7%","23.9%",".236",".335",".287",".342",".523",".375","142","1.6","34.6%","85.5%","40.4%"
"STL","223","36","3","8.1%","16.1%",".220",".301",".280",".350",".500",".373","145","1.0","36.6%","87.7%","39.4%"
"MIL","239","33","8","8.4%","24.7%",".241",".289",".255",".331",".495",".362","132","1.6","30.8%","85.3%","39.4%"
"SFG","240","38","5","12.5%","17.5%",".144",".316",".279",".375",".423",".356","133","1.0","29.1%","90.1%","40.9%"
"NYY","265","44","4","12.1%","22.6%",".201",".288",".253",".343",".454",".353","138","0.4","29.7%","87.3%","40.7%"
"CIN","268","41","7","10.4%","20.1%",".183",".303",".260",".341",".443",".347","119","-0.1","31.2%","88.3%","43.5%"
"LAA","270","43","4","6.7%","23.0%",".217",".303",".265",".316",".482",".346","134","-0.1","30.6%","81.5%","38.6%"
"LAD","282","40","3","11.7%","21.6%",".191",".298",".244",".340",".435",".346","125","0.8","28.8%","85.6%","43.8%"
"BOS","205","31","3","10.2%","23.9%",".145",".349",".274",".348",".419",".341","124","0.2","32.1%","84.3%","38.1%"
"COL","233","35","2","8.6%","22.3%",".130",".335",".275",".335",".406",".328","98","-1.2","32.2%","83.3%","42.5%"
"MIA","223","30","1","4.9%","25.1%",".167",".306",".257",".294",".424",".318","109","-1.3","37.0%","85.3%","40.4%"
"ATL","191","24","5","8.4%","29.3%",".174",".294",".233",".304",".407",".317","102","0.3","33.6%","79.7%","41.0%"
"ARI","217","24","3","8.3%","24.9%",".137",".317",".244",".313",".381",".312","98","1.6","29.4%","82.0%","35.7%"
"MIN","221","20","2","7.7%","22.2%",".156",".276",".236",".303",".392",".310","107","-0.7","28.4%","86.7%","42.8%"
"SEA","229","21","1","7.9%","26.6%",".089",".348",".256",".332",".345",".308","111","-0.6","31.0%","87.3%","28.5%"
"WSN","213","25","1","8.0%","19.2%",".124",".286",".249",".311",".373",".308","96","-1.6","30.3%","85.9%","39.6%"
"KCR","274","40","5","8.8%","18.6%",".161",".258",".230",".299",".391",".306","103","0.0","33.7%","85.7%","35.9%"
"CLE","200","25","4","8.0%","21.0%",".179",".246",".223",".285",".402",".306","104","0.6","29.6%","83.7%","39.4%"
"SDP","237","33","1","6.8%","22.8%",".140",".304",".248",".302",".388",".303","98","-1.1","38.6%","79.7%","38.2%"
"PIT","239","17","1","10.9%","20.5%",".163",".232",".206",".297",".368",".300","93","-1.1","26.5%","86.3%","35.8%"
"CHC","223","27","4","6.7%","27.4%",".123",".304",".232",".296",".355",".293","87","-0.6","33.0%","83.5%","46.2%"
"DET","277","22","1","6.1%","16.6%",".116",".276",".243",".296",".359",".292","94","-1.7","34.0%","88.3%","37.0%"
"NYM","225","24","2","8.9%","19.6%",".142",".260",".223",".295",".365",".290","93","-0.3","34.5%","85.2%","43.4%"
"CHW","231","28","3","6.9%","19.5%",".127",".263",".231",".288",".358",".289","93","1.5","36.0%","83.6%","38.5%"
"BAL","251","18","5","6.4%","22.3%",".122",".251",".213",".279",".335",".279","83","0.7","37.3%","83.4%","37.4%"
"TEX","237","22","8","8.0%","21.5%",".161",".203",".188",".253",".349",".270","80","3.8","32.6%","80.6%","40.1%"
"OAK","314","26","8","10.5%","16.9%",".093",".230",".197",".286",".290",".265","79","-0.1","28.8%","88.1%","31.4%"
"TOR","180","15","2","6.1%","21.7%",".093",".252",".211",".268",".304",".259","66","0.6","34.0%","81.0%","40.9%"
"TBR","206","16","8","4.9%","23.8%",".098",".220",".176",".224",".275",".226","53","0.7","33.9%","81.6%","27.6%"
