"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","292.2","8.70","2.64","0.86",".256","77.5%","2.74","3.45","3.64","1.07"
"NYY","305.0","9.41","2.86","0.71",".279","80.1%","2.74","3.13","3.37","1.12"
"HOU","309.1","8.20","2.85","0.73",".266","76.8%","2.91","3.46","3.83","1.12"
"LAA","329.2","7.64","2.92","0.90",".239","75.4%","3.17","3.79","3.89","1.08"
"MIN","310.0","9.00","3.02","1.10",".273","77.6%","3.34","3.78","3.68","1.18"
"NYM","320.0","9.70","2.76","0.93",".274","75.5%","3.40","3.35","3.35","1.10"
"DET","305.1","7.69","3.24","0.91",".257","72.1%","3.42","3.83","4.10","1.18"
"MIA","298.2","9.13","3.47","1.05",".271","74.5%","3.47","3.86","3.63","1.21"
"STL","299.0","7.49","3.13","0.93",".276","77.6%","3.52","4.01","3.94","1.23"
"ARI","311.0","7.21","3.04","0.81",".268","71.6%","3.53","3.84","4.20","1.21"
"OAK","326.2","7.82","2.92","0.85",".278","73.2%","3.58","3.69","3.86","1.21"
"TBR","310.1","8.73","2.61","1.16",".261","70.0%","3.63","3.83","3.58","1.12"
"MIL","306.0","10.59","3.56","0.91",".285","70.6%","3.65","3.37","3.28","1.21"
"SFG","301.1","8.75","2.81","0.66",".317","71.1%","3.70","3.13","3.46","1.28"
"BOS","302.2","8.89","3.24","1.13",".263","73.6%","3.75","4.01","3.86","1.18"
"SDP","314.0","9.23","3.07","1.03",".275","71.9%","3.75","3.71","3.56","1.17"
"BAL","304.0","7.55","3.11","0.92",".294","72.1%","3.79","3.96","3.97","1.29"
"SEA","307.0","8.88","3.25","1.29",".280","74.3%","3.84","4.18","3.81","1.25"
"CHW","296.0","9.52","4.14","0.91",".292","71.1%","3.89","3.80","3.86","1.33"
"TOR","306.2","8.28","2.67","0.91",".287","70.0%","3.90","3.58","3.66","1.21"
"TEX","292.0","8.94","3.79","1.17",".272","72.9%","4.07","4.23","3.75","1.28"
"CHC","286.0","8.69","3.37","1.13",".298","73.2%","4.09","4.05","3.76","1.32"
"PHI","308.2","9.01","3.38","0.85",".299","69.9%","4.14","3.66","3.73","1.28"
"ATL","310.0","9.41","3.63","0.78",".291","67.0%","4.15","3.49","3.79","1.27"
"CLE","290.2","8.14","3.22","1.05",".268","67.4%","4.18","4.04","4.09","1.21"
"PIT","298.0","8.09","3.96","0.97",".278","64.8%","4.62","4.17","4.34","1.34"
"KCR","281.0","7.01","3.78","1.02",".293","67.7%","4.68","4.38","4.53","1.41"
"WSN","315.2","8.35","4.02","1.08",".307","68.7%","4.88","4.35","4.22","1.44"
"COL","297.0","7.09","3.45","1.03",".323","65.4%","4.91","4.28","4.13","1.49"
"CIN","298.0","9.18","4.74","1.48",".316","67.0%","6.07","5.00","4.50","1.55"
