"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Twins","3654.0","1","0","-1","0","7","-1","9","2","18","528","429",".813","184","","3.3","6.0","0.2","8.5","-0.6","14.1","12.2","17.3"
"Dodgers","3837.0","2","1","-1","1","5","2","29","16","55","544","460",".846","168","","3.9","3.9","0.1","3.9","4.6","12.5","10.3","11.5"
"Phillies","3759.0","0","-1","5","-1","2","-1","-22","-6","-19","607","481",".792","153","","3.7","4.1","-0.7","-3.4","1.1","1.0","4.0","10.0"
"Royals","3717.0","2","1","0","0","2","2","3","11","19","593","474",".799","172","","4.6","0.1","1.2","2.9","5.3","9.5","4.8","9.5"
"Rays","3615.0","3","2","0","2","4","-1","12","6","26","458","377",".823","167","","2.0","1.0","0.0","4.5","0.7","6.2","5.0","8.3"
"Diamondbacks","3879.0","2","0","0","-2","-1","3","15","11","27","541","437",".808","200","","2.8","1.7","-1.0","1.3","0.0","2.0","2.6","6.8"
"Giants","3609.0","5","0","0","-2","5","0","22","4","35","521","426",".818","154","","12.6","3.7","-0.2","3.5","-0.8","6.3","6.0","6.3"
"Astros","3708.0","2","0","0","-3","-4","5","21","18","37","500","415",".830","210","","2.7","-1.2","-2.7","10.0","1.7","7.8","5.5","5.8"
"Cardinals","3723.0","-4","-4","0","1","0","-3","11","11","14","540","449",".832","146","","-3.9","3.6","1.2","1.5","-0.6","5.7","6.1","5.7"
"Cubs","3606.0","-2","-1","1","4","2","-2","0","0","4","564","463",".821","131","","-10.5","0.2","3.2","-0.3","0.5","3.6","0.9","5.6"
"Athletics","3906.0","-4","-1","0","-3","8","3","2","4","9","618","507",".820","153","","-5.4","6.1","-1.4","-1.7","3.7","6.7","7.2","4.7"
"Reds","3777.0","2","-1","-2","3","0","3","18","5","26","518","417",".805","178","","3.7","-3.0","3.8","2.2","2.1","5.1","-0.5","4.1"
"Indians","3540.0","5","1","0","-1","0","3","2","8","16","493","397",".805","165","","1.3","0.6","-0.2","-1.4","4.0","3.0","2.0","4.0"
"Padres","3762.0","7","1","1","-1","3","3","-5","-3","4","592","466",".787","173","","10.6","1.8","-2.1","1.6","2.7","4.0","3.9","4.0"
"Angels","3645.0","-1","-2","-2","-1","-3","-1","6","1","-6","552","461",".835","165","","-2.0","-0.5","0.1","4.5","3.5","7.6","3.2","3.6"
"Red Sox","3699.0","1","2","1","-1","1","6","-7","2","6","526","446",".848","133","","9.4","2.8","-1.0","-1.2","0.8","1.5","3.4","3.5"
"Braves","3762.0","4","0","0","0","0","-2","18","0","17","593","488",".823","154","","6.0","-1.1","-0.6","-3.7","2.7","-2.8","-1.8","3.2"
"Rockies","3675.0","-4","2","1","0","-2","0","-6","9","0","577","469",".813","173","","-6.4","-2.2","1.8","1.4","1.2","2.1","-0.6","3.1"
"Blue Jays","3642.0","4","0","-1","-1","-1","-1","-6","10","5","552","445",".806","178","","11.4","1.5","-2.3","-3.4","1.0","-3.3","0.3","-0.3"
"Brewers","4008.0","1","-2","-2","2","-1","6","11","4","23","565","442",".782","193","","4.5","-1.6","0.8","2.6","-2.4","-0.6","-1.5","-1.6"
"Yankees","3621.0","-2","0","1","0","0","4","-7","5","-6","507","396",".781","181","","-8.3","0.0","-0.1","1.4","-0.5","0.8","0.5","-3.2"
"Tigers","3579.0","-1","0","0","-1","-2","-3","-10","-2","-21","593","464",".783","142","","-5.2","-4.0","1.5","-2.9","2.0","-3.4","-4.5","-3.4"
"Rangers","3513.0","-3","0","-2","1","-2","-2","-9","1","-17","604","471",".780","144","","-15.6","-4.1","-0.1","0.6","1.9","-1.7","-2.8","-3.7"
"Marlins","3525.0","-1","-1","1","1","-3","2","-6","-2","-9","534","426",".798","142","","0.3","1.3","-0.9","-4.2","-1.4","-5.2","-2.7","-4.2"
"Orioles","3633.0","-5","0","4","3","-6","-7","-16","4","-23","550","454",".826","199","","-2.1","-5.0","0.8","-2.0","-4.6","-10.7","-9.7","-4.7"
"Pirates","3546.0","-2","0","0","2","0","-2","-4","6","-1","515","422",".819","163","","-3.1","-0.5","-0.7","0.0","-7.0","-8.3","-5.6","-8.3"
"Nationals","3654.0","-2","0","0","-1","-2","-2","-22","3","-29","512","411",".803","158","","-4.2","-6.6","0.3","-4.4","0.7","-10.0","-10.7","-11.0"
"Mets","3606.0","-7","-1","0","2","2","-6","-24","-3","-38","561","443",".790","148","","-8.4","0.6","0.1","-1.9","-3.5","-4.7","-1.9","-15.1"
"White Sox","3471.0","-2","0","0","1","0","-3","-18","9","-13","508","404",".795","167","","-6.1","-2.6","-0.4","-6.1","-5.8","-15.0","-9.1","-16.0"
"Mariners","3936.0","-2","-2","-1","-3","-3","-4","-29","-1","-46","662","510",".770","181","","-6.3","-6.8","-0.4","-13.8","-11.4","-32.3","-16.1","-33.3"
